Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,specimen_id,SRA Study,lat_lon,system type,subtype,strain
SRR10013046,AMPLICON,302,399996584,PRJNA561158,SAMN12610152,Viral,160838169,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-03-08,public,"run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751230,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,301093,nasal/throat swab,M54498_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M54498,M54498,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013047,AMPLICON,302,184827926,PRJNA561158,SAMN12610149,Viral,75963403,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-25,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751229,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,301202,nasal/throat swab,M54308_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M54308,M54308,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013048,AMPLICON,302,371317154,PRJNA561158,SAMN12610148,Viral,140933964,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-18,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751228,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,301235,nasal/throat swab,M54146_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M54146,M54146,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013049,AMPLICON,302,322022600,PRJNA561158,SAMN12610151,Viral,113026301,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-03-01,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751227,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,301557,nasal/throat swab,M54368_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M54368,M54368,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013050,AMPLICON,302,431284690,PRJNA561158,SAMN12610143,Viral,176276241,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-10,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751226,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,301587,nasal/throat swab,M53957_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M53957,M53957,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013051,AMPLICON,302,314161540,PRJNA561158,SAMN12610141,Viral,125768297,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-08,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751225,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,301665,nasal/throat swab,M53896_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M53896,M53896,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013052,AMPLICON,302,339138450,PRJNA561158,SAMN12610158,Viral,114245408,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2012-02-28,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751224,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,320413,nasal/throat swab,MH1033_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH1033,MH1033,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013053,AMPLICON,302,367419542,PRJNA561158,SAMN12610197,Viral,78396435,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-01-03,public,"sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751223,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,330007,nasal/throat swab,MH2666_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH2666,MH2666,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013054,AMPLICON,302,462796276,PRJNA561158,SAMN12616737,Viral,184467630,UNIVERSITY OF MICHIGAN - LAURING LAB,not applicable,not applicable,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX6751222,uncalculated,uncalculated,not applicable,not applicable,NextSeq 500,not applicable,not applicable,VIC_plasmid_control2run2,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,VIC_plasmid_control2run2,VIC_plasmid_control2run2,SRP219100,,in vivo human,IBV,B/Victoria/504/2000
SRR10013055,AMPLICON,302,184804672,PRJNA561158,SAMN12610211,Viral,75239176,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-03-20,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751221,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,330108,nasal/throat swab,MH4301_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH4301,MH4301,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013056,AMPLICON,302,164007442,PRJNA561158,SAMN12610202,Viral,13381363,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-01-25,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751220,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,330170,nasal/throat swab,MH3226_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:31:00Z,3,MH3226,MH3226,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013057,AMPLICON,302,181043866,PRJNA561158,SAMN12610213,Viral,24447731,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-04-15,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751219,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,330330,nasal/throat swab,MH4523_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:31:00Z,3,MH4523,MH4523,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013058,AMPLICON,302,420764520,PRJNA561158,SAMN12610214,Viral,168110789,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-04-15,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751218,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,330968,nasal/throat swab,MH4524_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:33:00Z,3,MH4524,MH4524,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013059,AMPLICON,302,314037116,PRJNA561158,SAMN12610199,Viral,83750309,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-01-03,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751217,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331002,nasal/throat swab,MH2672_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH2672,MH2672,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013060,AMPLICON,302,352870088,PRJNA561158,SAMN12610205,Viral,7927359,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-02-21,public,"sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751216,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331045,nasal/throat swab,MH3821_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH3821,MH3821,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013061,AMPLICON,302,368915952,PRJNA561158,SAMN12610201,Viral,47711740,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-01-21,public,"run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751215,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331061,nasal/throat swab,MH3066_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH3066,MH3066,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013062,AMPLICON,302,216394778,PRJNA561158,SAMN12610207,Viral,89630911,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-03-13,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751214,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331364,nasal/throat swab,MH4166_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH4166,MH4166,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013063,AMPLICON,302,497963874,PRJNA561158,SAMN12610209,Viral,197287383,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-03-18,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751213,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331397,nasal/throat swab,MH4247_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:01:00Z,2,MH4247,MH4247,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013064,AMPLICON,302,120363006,PRJNA561158,SAMN12610204,Viral,47490320,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-02-20,public,"sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Influenza,SRX6751212,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331435,nasal/throat swab,MH3814_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:31:00Z,3,MH3814,MH3814,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013065,AMPLICON,302,415100812,PRJNA561158,SAMN12616736,Viral,168494878,UNIVERSITY OF MICHIGAN - LAURING LAB,not applicable,not applicable,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX6751211,uncalculated,uncalculated,not applicable,not applicable,NextSeq 500,not applicable,not applicable,YAM_plasmid_control1run2,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:33:00Z,3,YAM_plasmid_control1run2,YAM_plasmid_control1run2,SRP219100,,in vivo human,IBV,B/Victoria/504/2000
SRR10013066,AMPLICON,302,225263914,PRJNA561158,SAMN12610208,Viral,76197899,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2013-03-14,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751210,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331452,nasal/throat swab,MH4201_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH4201,MH4201,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013067,AMPLICON,302,370715570,PRJNA561158,SAMN12610194,Viral,149595074,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2012-11-13,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751209,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331470,nasal/throat swab,MH2246_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH2246,MH2246,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013068,AMPLICON,302,341690048,PRJNA561158,SAMN12610193,Viral,139788359,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2012-11-07,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751208,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331471,nasal/throat swab,MH2216_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH2216,MH2216,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013069,AMPLICON,302,331162932,PRJNA561158,SAMN12610195,Viral,122006014,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2012-11-13,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751207,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,331472,nasal/throat swab,MH2247_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH2247,MH2247,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013070,AMPLICON,302,163896910,PRJNA561158,SAMN12610215,Viral,60636274,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2014-03-28,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751206,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,UM41536,nasal/throat swab,MH6592_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:31:00Z,3,MH6592,MH6592,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013071,AMPLICON,302,415065176,PRJNA561158,SAMN12610160,Viral,170185086,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-06,public,"run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Influenza,SRX6751205,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50003,nasal/throat swab,MH10403_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:33:00Z,3,MH10403,MH10403,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013072,AMPLICON,302,366581492,PRJNA561158,SAMN12610161,Viral,147318744,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-06,public,"sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751204,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50004,nasal/throat swab,MH10404_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH10404,MH10404,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013073,AMPLICON,302,191665206,PRJNA561158,SAMN12610169,Viral,70961816,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-04-01,public,"run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751203,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50019,nasal/throat swab,MH10545_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH10545,MH10545,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013074,AMPLICON,302,361561950,PRJNA561158,SAMN12610171,Viral,123286413,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-04-07,public,"sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751202,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50051,nasal/throat swab,MH10582_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH10582,MH10582,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013075,AMPLICON,302,381613844,PRJNA561158,SAMN12610164,Viral,152788654,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-17,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751201,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50369,nasal/throat swab,MH10453_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,MH10453,MH10453,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013076,AMPLICON,302,446471666,PRJNA561158,SAMN12616735,Viral,178004421,UNIVERSITY OF MICHIGAN - LAURING LAB,not applicable,not applicable,public,"sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",not applicable,SRX6751200,uncalculated,uncalculated,not applicable,not applicable,NextSeq 500,not applicable,not applicable,YAM_plasmid_control2run2,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:33:00Z,3,YAM_plasmid_control2run2,YAM_plasmid_control2run2,SRP219100,,in vivo human,IBV,B/Victoria/504/2000
SRR10013077,AMPLICON,302,450784226,PRJNA561158,SAMN12610170,Viral,106667512,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-04-01,public,"run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751199,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50409,nasal/throat swab,MH10549_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,MH10549,MH10549,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
